,Flow,Accuracy
524,weka.MultiBoostAB_NaiveBayes(1),0.929825
525,weka.MultilayerPerceptron(1),0.985523
526,weka.AdaBoostM1_J48(1),0.894737
527,weka.AdaBoostM1_MultilayerPerceptron(1),0.987751
528,weka.MultiBoostAB_DecisionStump(1),0.894737
529,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.966592
530,weka.MultiBoostAB_LADTree(1),0.877193
531,weka.Bagging_NaiveBayes(1),0.947368
532,weka.MultiBoostAB_OneR(1),0.912281
533,weka.MultiBoostAB_SMO_PolyKernel(1),0.894737
534,weka.AdaBoostM1_OneR(1),0.853007
535,weka.AdaBoostM1_REPTree(1),0.894737
536,weka.Bagging_BFTree(1),0.989978
537,weka.Bagging_DecisionStump(1),0.836303
538,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_REPTree(1),0.963252
539,weka.Bagging_JRip(1),0.986637
540,weka.MultiBoostAB_DecisionStump(1),0.836303
541,weka.AdaBoostM1_MultilayerPerceptron(1),0.929825
542,weka.Bagging_LWL_DecisionStump(1),0.947661
543,weka.Bagging_LADTree(1),0.877193
544,weka.MultiBoostAB_LWL_DecisionStump(1),0.986637
545,weka.Bagging_RandomTree(1),0.993318
546,weka.Bagging_OneR(1),0.836303
547,weka.MultiBoostAB_IBk(1),0.989978
548,weka.AdaBoostM1_REPTree(1),0.996659
549,weka.Bagging_SMO_PolyKernel(1),0.973274
550,weka.AdaBoostM1_OneR(1),0.912281
551,weka.MultiBoostAB_REPTree(1),0.859649
552,weka.AdaBoostM1_SMO_PolyKernel(1),0.894737
553,weka.MultiBoostAB_JRip(1),0.912281
554,weka.MultiBoostAB_BFTree(1),0.894737
555,weka.AdaBoostM1_RandomTree(1),0.976615
556,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_DTNB(1),0.958797
557,weka.Bagging_J48(1),0.992205
558,weka.BayesNet_SimulatedAnnealing(1),0.894737
559,weka.AdaBoostM1_NaiveBayes(1),0.944321
560,weka.AdaBoostM1_JRip(1),0.995546
561,weka.BayesNet_TAN(1),0.985523
562,weka.Bagging_OneR(1),0.807018
563,weka.MultiBoostAB_IBk(1),0.842105
564,weka.AdaBoostM1_J48(1),0.996659
565,weka.MultiBoostAB_RandomTree(1),0.976615
566,weka.Bagging_MultilayerPerceptron(1),0.993318
567,weka.AdaBoostM1_RandomForest(1),0.859649
568,weka.AdaBoostM1_JRip(1),0.995546
569,weka.AdaBoostM1_JRip(1),0.947368
570,weka.NBTree(1),0.947368
571,weka.MultiBoostAB_NaiveBayes(1),0.927617
572,weka.AdaBoostM1_LWL_DecisionStump(1),0.947368
573,weka.BayesNet_TabuSearch(1),0.957684
574,weka.Bagging_J48(1),0.894737
575,weka.Bagging_NaiveBayes(1),0.947368
576,weka.Bagging_NaiveBayes(1),0.947368
577,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Bagging_REPTree(1),0.974388
578,weka.AdaBoostM1_MultilayerPerceptron(1),0.987751
579,weka.MultilayerPerceptron(1),0.989978
580,weka.AdaBoostM1_J48(1),0.994432
581,weka.MultiBoostAB_SMO_PolyKernel(1),0.912281
582,weka.Bagging_RandomForest(1),0.912281
583,weka.MultiBoostAB_RandomForest(1),0.992205
584,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_SimpleLogistic(1),0.912027
585,weka.ZeroR(1),0.761693
586,weka.ZeroR(1),0.761693
587,weka.ZeroR(1),0.649123
588,weka.J48(1),0.985523
589,weka.J48(1),0.789474
590,weka.MultiBoostAB_LADTree(1),0.995546
591,weka.MultiBoostAB_J48(1),0.996659
592,weka.LWL_NaiveBayes(1),0.888641
593,weka.AdaBoostM1_OneR(1),0.912281
594,weka.Bagging_J48(1),0.991091
595,weka.Bagging_IBk(1),0.842105
596,weka.Bagging_DecisionStump(1),0.877193
597,weka.ZeroR(1),0.761693
598,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Logistic(1),0.929825
599,weka.ZeroR(2),0.761693
600,weka.ZeroR(2),0.761693
601,weka.ZeroR(2),0.761693
602,weka.ZeroR(2),0.761693
603,weka.ZeroR(2),0.761693
604,weka.J48(3),0.985523
605,weka.J48(3),0.985523
606,weka.J48(3),0.985523
607,weka.ZeroR(2),0.761693
608,weka.Ridor(1),0.98441
609,weka.JRip(2),0.98441
610,weka.ZeroR(2),0.761693
611,weka.ZeroR(2),0.761693
612,weka.ZeroR(2),0.761693
613,weka.OneR(3),0.836303
614,weka.OneR(3),0.836303
615,weka.OneR(3),0.836303
616,weka.OneR(3),0.836303
617,weka.ZeroR(2),0.761693
618,weka.ZeroR(2),0.761693
619,weka.NaiveBayes(2),0.865256
620,weka.J48(3),0.985523
621,weka.J48(3),0.985523
622,weka.J48(3),0.985523
623,weka.J48(3),0.985523
624,weka.J48(3),0.985523
625,weka.J48(3),0.985523
626,weka.ZeroR(2),0.761693
627,weka.J48(3),0.985523
628,weka.J48(3),0.985523
629,weka.ZeroR(2),0.761693
